Position,Artist,Song Title,Year,Lyrics
11,Frank Sinatra,Strangers in the Night,1966,"Strangers in the night exchanging glances
Wondering in the night what were the chances
We'd be sharing love before the night is through

Something in your eyes was so inviting
Something in your smile was so exciting
Something in my heart told me I must have you

Strangers in the night
Two lonely people, we were strangers in the night
Up to the moment when we said our first hello
Little did we know, love was just a glance away
A warm embracing dance away and

Ever since that night we've been together
Lovers at first sight, in love forever
It turned out so right for strangers in the night
Two strangers in the night"
12,The Righteous Brothers,Unchained Melody,1965,"Oh, my love, my darling
I've hungered for your touch
A long, lonely time

And time goes by so slowly
And time can do so much
Are you still mine?

I need your love
I need your love
God speed your love to me!

Lonely rivers flow
To the sea, to the sea
To the open arms of the sea

Lonely rivers sigh
""Wait for me, wait for me""
I'll be coming home, wait for me!

Oh, my love, my darling
I've hungered, hungered for your touch
A long, lonely time

And time goes by so slowly
And time can do so much
Are you still mine?

I need your love
I need your love
God speed your love to me!"
13,The Beatles,All You Need is Love,1967,"(Love, love, love)
(Love, love, love)
(Love, love, love)

There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say but you can learn how to play the game
It's easy

There's nothing you can make that can't me made
No one you can save that can't be saved
Nothing you can do but you can learn how to be you in time
It's easy

All you need is love
All you need is love
All you need is love, love
Love is all you need

(Love, love, love)
(Love, love, love)
(Love, love, love)

All you need is love
All you need is love
All you need is love, love
Love is all you need

There's nothing you can know that isn't known
Nothing you can see that isn't shown
There's nowhere you can be that isn't where you're meant to be
It's easy

All you need is love
All you need is love
All you need is love, love
Love is all you need

All you need is love, all together now
All you need is love, everybody
All you need is love, love
Love is all you need

Love is all you need
Love is all you need
Love is all you need
..."
14,The Beatles,She Loves You,1964,"She loves you, yeah yeah yeah
She loves you, yeah yeah yeah
She loves you, yeah yeah yeah yeah

You think you've lost your love
Well, I saw her yesterday
It's you she's thinking of
And she told me what to say

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

She said you hurt her so
She almost lost her mind
But now she says she knows
You're not the hurting kind

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad, ooh!

She loves you, yeah yeah yeah
She loves you, yeah yeah yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
And you know that can't be bad
She loves you
And you know you should be glad, ooh!

She loves you, yeah yeah yeah
She loves you, yeah yeah yeah
With a love like that
You know you should be glad

With a love like that
You know you should be glad
With a love like that
You know you should, be glad!

Yeah yeah yeah
Yeah yeah yeah yeah"
15,Archies,Sugar Sugar,1969,"Sugar, ah honey honey
You are my candy girl
And you've got me wanting you.
Honey, ah sugar sugar
You are my candy girl
And you got me wanting you

I just can't believe the lovliness of loving you,
(I just can't believe it's true)
I just can't believe the wonder of this feeling to
(I just can't believe it's true)

Ah Sugar, ah honey honey
You are my candy girl,
and you got me wanting you
Oh Honey, ah sugar sugar
you are my candy girl
and you got me wanting you

When i kissed you girl I knew how sweet a kiss could be
(I know how sweet a kiss could be)
Like the summer sunshine pour your sweetness over me
(Pour your sweetness over me)

Pour a little sugar on it honey
Pour a little sugar on it Baby
I'm gonna make your life so sweet, yeah yeah yeah
pour a little sugar on it oh yeah
pour a little sugar on it honey
pour a little sugar on it baby
I'm gonna make your life so sweet, yeah yeah yeah
pour a little sugar on it honey

Ah sugar, ah honey honey
you are my candy girl
and you got me wanting you
Oh honey, sugar sugar...
You are my candy girl"
16,The Beatles,Yesterday,1965,"Yesterday, all my troubles seemed so far away
Now it looks as though they're here to stay
Oh, I believe in yesterday

Suddenly, I'm not half the man I used to be
There's a shadow hanging over me
Oh, yesterday came suddenly

Why she had to go
I don't know, she wouldn't say
I said something wrong
Now I long for yesterday

Yesterday, love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

Why she had to go
I don't know, she wouldn't say
I said something wrong
Now I long for yesterday

Yesterday, love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday"
17,The Beatles,Get Back,1969,"Jojo was a man who thought he was a loner
But he knew it couldn't last.
Jojo left his home in Tucson, Arizona
For some California grass.
Get back, get back.
Get back to where you once belonged
Get back, get back.
Get back to where you once belonged.
Get back Jojo, go home
Get back, get back.
Get back to where you once belonged
Get back, get back.
Back to where you once belonged.
Get back Jo.
Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can
Get back, get back.
Get back to where you once belonged
Get back, get back.
Get back to where you once belonged.
Get back Loretta
Your mother's waiting for you
Wearing her high-heel shoes
And her low-neck sweater
Get back Loretta,
Get back, get back to where you once belonged
Get back, get back.
Get back to where you once belonged.
Get back, get back.
Get back to where you once belonged.
Get back, get back.
Get back to where you once belonged."
18,Percy Faith,Theme From 'A Summer Place',1960,"There's a summer place
Where it may rain or storm
Yet I'm safe and warm

For within that summer place
Your arms reach out to me
And my heart is free from all care for it knows

There are no gloomy skies
When seen through the eyes
Of those who are blessed with love

And the sweet secret of
A summer place
Is that it's anywhere

When two people share
All their hopes, all their dreams
All their love

There's a summer place
Where it may rain or storm
Yet I'm safe and warm

In your arms, in your arms
In your arms, in your arms
In your arms, in your arms"
19,The Beatles,"Hello, Goodbye",1967,"You say yes, I say no.
You say stop and I say go go go, oh no.
You say goodbye and I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello.
I say high, you say low.
You say why and I say I don't know, oh no.
You say goodbye and I say hello
hello hello
I don't know why you say goodbye, I say hello
hello hello
I don't know why you say goodbye
I say hello.
Oh no,
You say goodbye and I say hello
Hello hello
I don't know why you say goodbye
I say hello.
Hello hello
I don't know why I say goodbye
I say hello
You say yes (I say yes)
I say no (But I'm naming no)
You say stop (I can stay)
and I say go go go (till it's time to go)
Oh no
You say goodbye and I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello
Hello hello
I don't know why you say goodbye, I say hello hello

Hela heba helloa
Hela heba helloa, cha cha cha
Hela heba helloa, wooo
Hela heba helloa, hela
Hela heba helloa, cha cha cha
Hela heba helloa, wooo
Hela heba helloa, cha cah cah"
20,Nancy Sinatra,These Boots Are Made For Walking,1966,"You keep saying, you got something for me
Something you call love but confess
You've been messin' where you shouldn't have been messin'
And now someone else is getting all your best

These boots are made for walking
And that's just what they'll do
One of these days these boots
Are gonna walk all over you

Yeah, you keep lyin' when you oughta be truthin'
And you keep losing when you oughta not bet
You keep samin' when you oughta be changin'
Now, what's right is right but you ain't been right yet

These boots are made for walking
And that's just what they'll do
One of these days these boots
Are gonna walk all over you

You keep playin' where you shouldn't be playin'
And you keep thinkin' that you'll never get burnt
Ah, I've just found me a brand new box of matches, yeah
And what he knows you ain't had time to learn

These boots are made for walking
And that's just what they'll do
One of these days these boots
Are gonna walk all over you

Are you ready, boots?
Start walking"
21,Ray Charles,I Can't Stop Loving You,1962,"I've made up my mind
To live in memories of the lonesome times
(I can't stop wanting you)

It's useless to say
So I'll just live my life of dreams of yesterday
(Dreams of yesterday)
Those happy hours that we once knew

Tho' long ago, they still make me blue
They say that time heals a broken heart
But time has stood still since we've been apart
(I can't stop loving you)

I've made up my mind
To live in memories of the lonesome times
(I can't stop wanting you)

It's useless to say
So I'll just live my life of dreams of yesterday
(Those happy hours)
Those happy hours

(That we once knew)
That we once knew
(Tho' long ago)

Tho' long ago
(Still make me blue)
Still make me blue
(They say that time)

They say that time
(Heals a broken heart)
Heals a broken heart
(But time has stood still)

Time has stood still
(Since we've been apart)
Since we've been apart
(I can't stop loving you)
I said I made up my mind
To live in memories of the lonesome times
Sing the song, children
(I can't stop wanting you)
It's useless to say
So I'll just live my life of dreams of yesterday
(Of yesterday)"
22,Chubby Checker,Let's Twist Again,1961,"Come on everybody, clap your hands
Are you lookin' good?
I'm gonna sing my song
It won't take long
We're gonna do the twist and it goes like this

Come on, let's twist again like we did last summer
Yeah, let's twist again like we did last year
Do you remember when things were really hummin'?
Yeah, let's twist again, twistin' time is here

Ee, a round and round and up and down we go again
Oh, baby make me know you love me so and then
Twist again like we did last summer
Come on, let's twist again
Like we did last year
Twist, yo

Who's that flyin' up there
Is it a bird? No
Is it a plane? No
Is it the twister? Yeah

Yeah, twist again like we did last summer
Come on, let's twist again like we twist last year
Do you remember when things were really hummin'?
Come on, let's twist again, twistin' time is here

Ee, a round and round and up and down we go again
Oh, baby make me know you love me so and then
Come on, twist again like we did last summer
Girl, let's twist again
Like we did last year

Come on, lets twist again
Twistin' time is here"
23,Ben E King,Stand By Me,1961,"When the night has come and the land is dark
And the moon is the only light we see
No, I won't be afraid, oh, I won't be afraid
Just as long as you stand, stand by me

So darling, darling, stand by me, oh, stand by me
Oh, stand, stand by me, stand by me

If the sky that we look upon should tumble and fall
Or the mountain should crumble to the sea
I won't cry, I won't cry, no, I won't shed a tear
Just as long as you stand, stand by me

And darling, darling, stand by me
Darling, darling, stand by me
Whenever you're in trouble
Won't you stand by me, oh, stand by me"
24,Petula Clark,Downtown,1965,"When you're alone and life is making you lonely
You can always go - downtown.
When you've got worries all the noise and the hurry
Seems to help I know downtown.

Just listen to the music of the traffic in the city
Linger on the sidewalk where the neon signs are pretty
How can you lose?

The lights are much brighter there
you can forget all your troubles, forget all your cares
so go downtown
Things will be great when you're downtown
No finer place for sure downtown
Everything's waiting for you.

Don't hang around and let your problems surround you
There are movie shows downtown.
Maybe you know some little places to go to
where they never close downtown.

Just listen to the rhythm of a gentle bossa nova

You'll be dancing with 'em too before the night is over

happy again.
The lights are much brighter there
you can forget all your troubles, forget all your cares
so go - downtown
Where all the lights are bright downtown
waiting for you tonight downtown
you're gonna be alright now
downtown
downtown

downtown
And you may find somebody kind to help and understand you
Someone who is just like you and needs a gentle hand to

guide them along.
So maybe I'll see you there
we can forget all our troubles, forget all our cares
so go downtown
Things will be great when you're downtown

don't wait a minute more downtown
Everything is waiting for you
downtown
downtown
downtown
downtown
downtown
downtown
downtown..."
25,The Beatles,Penny Lane,1967,"In Penny Lane there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello

On the corner is a banker with a motorcar
The little children laugh at him behind his back
And the banker never wears a mac in the pouring rain
Very strange

Penny Lane is in my ears and in my eyes
Wet beneath the blue suburban skies
I sit and meanwhile back in

Penny Lane there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine

Penny Lane is in my ears and in my eyes
A four of fish and finger pies
In summer meanwhile back

Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway

Penny Lane, the barber shaves another customer
We see the banker sitting waiting for a trim
And the fireman rushes in from the pouring rain
Very strange

Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back

Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane"
26,The Beach Boys,Good Vibrations,1966,"I-I love the colorful clothes she wears
And the way the sunlight plays upon her hair
I hear the sound of a gentle word
On the wind that lifts her perfume through the air

I'm pickin' up good vibrations
She's giving me excitations (Oom bop bop)
I'm pickin' up good vibrations (Good vibrations, oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations)

Close my eyes, she's somehow closer now
Softly smile, I know she must be kind
When I look in her eyes
She goes with me to a blossom world

I'm pickin' up good vibrations
She's giving me excitations (Oom bop bop)
I'm pickin' up good vibrations (Good vibrations, oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations (Oom bop bop)
She's giving me excitations (Excitations)

(Ahh)
(Ah, my my, what elation)
I don't know where but she sends me there
(Oh, my my, what a sensation)
(Oh, my my, what elation)
(Oh, my my, what)

Gotta keep those lovin' good vibrations a-happenin' with her
Gotta keep those lovin' good vibrations a-happenin' with her
Gotta keep those lovin' good vibrations a-happenin'

(Ahh)

Good, good, good, good vibrations (Oom bop bop)
(I'm pickin' up good vibrations) (Oom bop bop)
She's giving me excitations (Excitations, oom bop bop)
Good, good, good, good vibrations

Na na na na na, na na na
Na na na na na, na na na (Bop bop-bop-bop-bop, bop)
Do do do do do, do do do (Bop bop-bop-bop-bop, bop)
Do do do do do, do do do (Bop bop-bop-bop-bop, bop)"
27,Bee Gees,(The Lights Went Out In) Massachusetts,1967,"Feel I'm goin' back to Massachusetts
Something is telling me I must go home
And the lights all went out in Massachusetts
The day I left her standing on her own

Tried to hitch a ride to San Francisco
Gotta do the things I wanna do
And the lights all went out in Massachusetts
They brought me back to see my way with you

Talk about the life in Massachusetts
Speak about the people I have seen
And the lights all went out in Massachusetts
And Massachusetts is one place I have seen

I will remember Massachusetts"
28,The Animals,House of the Rising Sun,1964,"There is a house in New Orleans
They call the Rising Sun
And it's been the ruin of many a poor boy
And God, I know I'm one

My mother was a tailor
She sewed my new blue jeans
My father was a gamblin' man
Down in New Orleans

Now the only thing a gambler needs
Is a suitcase and trunk
And the only time he's satisfied
Is when he's on a drunk

Oh, mother, tell your children
Not to do what I have done
Spend your lives in sin and misery
In the house of the rising sun

Well, I got one foot on the platform
The other foot on the train
I'm goin' back to New Orleans
To wear that ball and chain

Well, there is a house in New Orleans
They call the Rising Sun
And it's been the ruin of many a poor boy
And God, I know I'm one"
29,Mary Hopkin,Those Were the Days,1968,"Once upon a time there was a tavern
Where we used to raise a glass or two.
Remember how we laughed away the hours
And thinking of all the great things we would do.

Those were the days, my friend,
We thought they'd never end,
We'd sing and dance forever and a day;
We'd live the life we choose we'd fight and never lose
For we were young and sure to have our way.

La la la la la la,
La la la la la la,
La la la la la la la la la la.

Then the busy years went rushing by us,
We lost our starry notions on the way.
If by chance I'd see you in the tavern,
We'd smile at one another and we'd say.

Those were the days, my friend,
We thought they'd never end,
We'd sing and dance forever and a day;
We'd live the life we choose we'd fight and never lose
Those were the days, oh yes, those were the days.

La la la la la la,
La la la la la la,
La la la la la la la la la la.

Just tonight I stood before the tavern,
Nothing seemed the way it used to be.
In the glass I saw a strange reflection,
Was that lonely woman really me?

Those were the days, my friend,
We thought they'd never end,
We'd sing and dance forever and a day;
We'd live the life we choose we'd fight and never lose
Those were the days, oh yes, those were the days.

La la la la la la,
La la la la la la,
La la la la la la la la la la.
La la la la la la,
La la la la la la,
La la la la la la la la la la.

Through the door there came familiar laughter,
I saw your face and heard you call my name.
Oh my friend we're older but no wiser,
For in our hearts the dreams are still the same.

Those were the days, my friend,
We thought they'd never end,
We'd sing and dance forever and a day;
We'd live the life we choose we'd fight and never lose
Those were the days, oh yes, those were the days.

La la la la la la,
La la la la la la,
La la la la la la la la la la.
La la la la la la,
La la la la la la,
La la la la la la la la la la."
30,The Beatles,I Feel Fine,1964,"Baby's good to me
You know she's happy as can be
You know she said so
I'm in love with her and I feel fine

Baby says she's mine
You know she tells me all the time
You know she said so
I'm in love with her and I feel fine

I'm so glad that she's my little girl
She's so glad, she's telling all the world

That her baby buys her things
You know he buys her diamond rings
You know she said so
She's in love with me and I feel fine

Baby says she's mine
You know she tells me all the time
You know she said so
I'm in love with her and I feel fine

I'm so glad that she's my little girl
She's so glad, she's telling all the world

That her baby buys her things
You know he buys her diamond rings
You know she said so
She's in love with me and I feel fine
She's in love with me and I feel fine"
31,The Beatles,Paperback Writer,1966,"Paper back writer
  (Paperback writer)
(Paperback writer)

Dear Sir or Madam, will you read my book?
It took me years to write, will you take a look?
It's based on a novel by a man named Lear
And I need a job so I want to be
A paperback writer, paperback writer

It's the dirty story of a dirty man
And his cleaning wife just doesn't understand
His son is working for the Daily Mail
It's a steady job but he wants to be
A paperback writer, paperback writer

Paper back writer
  (Paperback writer)
(Paperback writer)

It's a thousand pages, give or take a few
I'll be writing more in a week or two
I can make it longer if you like the style
I can change it 'round then I want to be
A paperback writer, paperback writer

If you really like it you can have the rights
It could make a million for you overnight
If you must return it, you can send it here
But I need a break and I want to be
A paperback writer, paperback writer

Paper back writer
  (Paperback writer)
(Paperback writer)

Paper back writer
  (Paperback writer)
Paper back writer
  (Paperback writer)

Paper back writer
  (Paperback writer)
Paper back writer
  (Paperback writer)"
32,The Rolling Stones,Honky Tonk Woman,1969,"I met a gin soaked, bar-room queen in memphis,
She tried to take me upstairs for a ride.
She had to heave me right across her shoulder
cause I just cant seem to drink you off my mind.

Its the honky tonk women
Gimme, gimme, gimme the honky tonk blues.

I laid a divorcee in new york city,
I had to put up some kind of a fight.
The lady then she covered me with roses,
She blew my nose and then she blew my mind.

Its the honky tonk women
Gimme, gimme, gimme the honky tonk blues.

(yeah!) its the honky tonk women.
Gimme, gimme, gimme the honky tonk blues.

(yeah!) its the honky tonk women.
Gimme, gimme, gimme the honky tonk blues"
33,The Beatles,A Hard Day's Night,1964,"It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I find the things that you do
Will make me feel alright

You know I work all day to get you money to buy you things
And it's worth it just to hear you say you're gonna give me everything
So why on earth should I moan, 'cause when I get you alone
You know I feel OK

When I'm home, everything seems to be right
When I'm home, feeling you holding me tight, tight

It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I find the things that you do
Will make me feel alright owww!

So why on earth should I moan, 'cause when I get you alone
You know I feel OK

When I'm home, everything seems to be right
When I'm home, feeling you holding me tight, tight

It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright"
34,Zager & Evans,In the Year 2525 (Exordium & Terminus),1969,We do not have the lyrics for In the Year 2525 (Exordium and Terminus) yet.
