Position,Artist,Song Title,Year,Lyrics
25,Rick Astley,Never Gonna Give You Up,1987,"We're no strangers to love
You know the rules and so do I
A full commitment's what I'm thinkin' of
You wouldn't get this from any other guy
I just wanna tell you how I'm feelin'
Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

We've know each other for so long
Your heart's been achin' but you're too shy to say it
Inside we both know what's been going on
We know the game and we're gonna play it
And if you ask me how I'm feelin'
Don't tell me you're too blind to see

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

  (Give you up, give you up)
Never gonna give, never gonna give
  (Give you up)
Never gonna give, never gonna give
  (Give you up)

We've know each other for so long
Your heart's been achin' but you're too shy to say it
Inside we both know what's been going on
We know the game and we're gonna play it
I just wanna tell you how I'm feelin'
Gotta make you understand

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you

Never gonna give you up
Never gonna let you down
Never gonna run around and desert you
Never gonna make you cry
Never gonna say goodbye
Never gonna tell a lie and hurt you"
26,Berlin,Take My Breath Away,1986,"Watching every motion
In my foolish lover's game
On this endless ocean
Finally lovers know no shame
Turning and returning
To some secret place inside
Watching in slow motion
As you turn around and say

Take my breath away
Take my breath away

Watching i keep waiting
Still anticipating love
Never hesitating
To become the fated ones
Turning and returning
To some secret place inside
Watching in slow motion
As you turn around and say

Take my breath away
Through the hourglass i saw you

in time you slipped away
When the mirror crashed i called you
And turned to hear you say
If only for today
I am afraid
Take my breath away

Take my breath away
Watching every motion

In my foolish lover's game
On this endless ocean
Finally lovers know no shame
Turning and returning
To some secret place inside
Watching in slow motion
As you turn around and say
Take my breath away
Take my breath away
Take my breath away
Take my breath away"
27,Olivia Newton-John,(Let's Get) Physical,1981,"Exception occurred 
HTTP Error 404: Not Found"
28,Dionne Warwick,That's What Friends Are For,1986,"And I never thought I'd feel this way
And as far as I'm concerned
I'm glad I got the chance to say
That I do believe, I love you

And if I should ever go away
Well, then close your eyes and try
To feel the way we do today
And then if you can remember

Keep smiling, keep shining
Knowing you can always count on me, for sure
That's what friends are for
For good times and bad times
I'll be on your side forever more
That's what friends are for

(Stevie Wonder)
Well, you came in loving me
And now there's so much more I see
And so by the way
I thank you

(Luther Vandross)
Oh and then for the times when we're apart
Well, then close your eyes and know
The words are coming from my heart
And then if you can remember

(Stevie Wonder)
Keep smiling and keep shining
Knowing you can always count on Stevie, for sure
That's what friends are for
In good times and bad times
I'll be on your side forever more
That's what friends are for

(Whitney Houston)
Keep smiling, keep shining
Knowing you can always count on me, for sure
That's what friends are for
For good times and bad times
I'll be on your side forever more
That's what friends are for

(Luther Vandross)
Keep smiling, keep shining
Knowing you can always count on me, for sure
That's what friends are for
For good times and the bad times
I'll be on your side forever more
That's what friends are for"
29,Starsound,Stars On 45,1981,"Exception occurred 
HTTP Error 404: Not Found"
30,Lipps Inc,Funkytown,1980,"Gotta make a move to a town
That's right for me
Town to keep me movin'
Keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'

Gotta move on
Gotta move on
Gotta move on

Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?

Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?

Gotta make a move to a town
That's right for me
Town to keep me movin'
Keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'

Gotta move on
Gotta move on
Gotta move on

Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?

Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?

Won't you take me down to
Funkytown?
Won't you take me down to
Funkytown?
Won't you take me down to
Funkytown?
Won't you take me down to
Funkytown?

Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?
Won't you take me to
Funkytown?

Take me, won't you take me?
Take me, won't you take me?
Take me, won't you take me?
  (Won't you take me to?)
Take me, won't you take me?
  (Won't you take me to?)

I wanna go to Funkytown
  (Won't you take me to?)
I wanna go to Funkytown
  (Won't you take me to?)
I wanna go to Funkytown
  (Won't you take me to?)
I wanna go to Funkytown
  (Won't you take me to?)"
31,Falco,Rock Me Amadeus,1986,"Ooh, rock me Amadeus
Rock me Amadeus, rock me Amadeus
Rock me all the time to the top

Er war ein Punker
(He was a Punker)
Und er lebte in der groÃ¾en stadt
 (And he lived in the big city)

Es war in Wien, war Vienna
(It was Vienns, was Vienna)
Wo er alles tat
(Where he did everything)

Er hatte Schulden denn er trank
(He had debts, for he drank)
Doch ihn liebten alle Frauen
(But all the women loved him)

Und jede rief
(And they shouted:)
Come and rock me Amadeus

Er war Superstar
(He was a Superstar)
Er war populÃ¤r
(He was popular)

Er war so exaltiert
(He was so exalted)
Genau das war sein flair
(Excatly that was his flair)

Because er hatte Flair
(Because he had flair)
Er war allen nur zu gross
(He was too big for all)

Er war ein Virtuose
(He was a virtuoso)
War ein Rockidol
(Was a rock idol)

Und alles ruft noch heute
(And all still call today)
Und alles rief
(And everyone shouted)
Come and rock me Amadeus

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Come and rock me Amadeus

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus

Es war um 1780
(It was around 1780)
Und es war in Wien
(And it was in Vienna)
No plastic money anymore

Die Banken gegen ihn
(The Banks against him)
Woher die Schulden kamen
(From which his debt came)

War wohl jedermann bekannt
(It was common knowledge)
Er war ein Mann der Frauen
(He was a woman's man)

Frauen liebten seinen Punk
(Women loved his punk)

Er war Superstar
(He was a Superstar)
Er war populÃ¤r
(He was popular)

Er war so exaltiert
(He was so exalted)
Because er hatte Flair
(Because he had flair)

Er war ein Virtuose
(He was a virtuoso)
War ein Rockidol
(Was a rock idol)

Und alles rief
(And everyone shouted)
Come and rock me Amadeus

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Come and rock me Amadeus

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Come and rock me Amadeus

Baby, baby, do it to me, rock me
Baby, baby, do it to me, rock me
Baby, baby, do it to me, rock me
Yeah, yeah, yeah, ow

Baby, baby, do it to me, rock me
Baby, baby, do it to me, rock me
Baby, baby, do it to me, rock me
Come and rock me Amadeus
(Yow)

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus

Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, Amadeus
Amadeus, Amadeus, oh, oh, oh Amadeus
Amadeus-deus-deus-deus"
32,Cyndi Lauper,Girls Just Wanna Have Fun,1984,"I come home in the mornin' light
My Mother says,""When you gonna live your life right?""
Oh Mother dear, we're not the fortunate ones
And girls, they wanna have fun
Oh girls just wanna have fun

The phone rings in the middle of the night
My Father yells,""What you gonna do with your life?""
Oh Daddy dear, you know you're still number one
But girls, they wanna have fun
Oh girls just wanna have

That's all they really want
Some fun
When the workin' day is done
Girls they wanna have fun
Oh girls just wanna have fun
  (Girls, they want)
(Wanna have fun)
(Girls wanna have)

Some boys take a beautiful girl
And hide her away from the rest of the world
I wanna be the one to walk in the sun
Oh girls, they wanna have fun
Oh girls just wanna have

That's all they really want
Is some fun
When the working day is done
Oh girls, they wanna have fun
Oh girls just wanna have fun
They wanna have fun
  (Girls, they want)
(Wanna have fun)
(Girls wanna have)

They just wanna have fun
Girls just wanna have fun

When the workin'
When the workin' day is done
Oh when the workin' day is done
Girls just wanna have fun

Oh girls
Girls just wanna have fun
..."
33,Tina Turner,What's Love Got to Do With It?,1984,"You must understand
That the touch of your hand
Makes my pulse react
That it's only that thrill
Of boy meeting girl
Opposites attract
It's physical
Only logical
You must try to ignore
That it means more than that

Oh whats love got to do with it
What's love but a second hand emotion
What's love got to do with it
Who needs a heart
When a heart can be broken

It may seem to you
That I'm acting confused
When you're close to me
If I tend to look dazed
I've read it someplace
I've got cause to be
There's a name for it
There's a phrase for it
But whatever the reason
You do it for me

Oh whats love got to do with it
What's love but a second hand emotion
What's love got to do with it
Who needs a heart
When a heart can be broken

I've been taking on a new direction
But I have to say
I've been thinking about my own protection
It scares me to feel this way

What's love got to do, got do with it
What's love but a sweet old fashioned notion
What's love got to do, got to do with it
Who needs a heart when a heart can be broken"
34,Band Aid,Do They Know It's Christmas?,1984,"It's Christmas time
There's no need to be afraid
At Christmas time
We let in light and we banish shade

And in our world of plenty
We can spread a smile of joy
Throw your arms around the world
At Christmas time

But say a prayer
Pray for the other ones
At Christmas time, it's hard
But when you're having fun

There's a world outside your window
And it's a world of dreaded fear
Where the only water flowing
Is a bitter sting of tears

And the Christmas bells that ring there
Are the clanging chimes of doom
We'll, tonight, thank God, it's them
Instead of you

And there won't be snow in Africa this Christmas time
The greatest gift they'll get this year is life
Where nothing ever grows, no rain or rivers flow
Do they know it's Christmas time at all?

Here's to you
Raise your glass for everyone
Here's to them
Underneath that burning sun
Do they know it's Christmas time at all?

Feed the world
Feed the world

Feed the world
Let them know it's Christmas time and
Feed the world
Let them know it's Christmas time and
Feed the world
Let them know it's Christmas time and
..."
35,Diana Ross,Endless Love,1981,"My love
There's only you in my life
The only thing that's right

My first love
You're every breath that I take
You're every step I make

And I, I want to share
(I)
All my love with you
No one else will do

And your eyes
(Your eyes, your eyes)
They tell me how much you care
Oh yes, you will always be
My endless love

Two hearts
Two hearts that beat as one
Our lives have just begun

Forever
(For)
I'll hold you close in my arms
I can't resist your charms

And love
(Oh love)
I'll be a fool for you I'm sure
You know I don't mind
(Oh you know I don't mind)

'Cause you
You mean the world to me
Oh, I know I found in you
My endless love

Oh, and love
(Oh, love)
I'll be that fool for you, I'm sure
You know I don't mind, oh I don't mind
  (Oh you know I don't mind)

And yes, you'll be the only one
'Cause no one can't deny
This love I have inside
And I'll give it all to you
My love, my endless love
  (My love, my love)"
36,Steve Miller Band,Abracadabra,1982,We do not have the lyrics for Abracadabra yet.
37,Los Lobos,La Bamba,1987,"Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia para mÃ­ para tÃ­ y arriba y arriba
Y arriba y arriba por tÃ­ serÃ©, por tÃ­ serÃ©, por tÃ­ serÃ©

Yo no soy marinero
Yo no soy marinero
Soy capitan, soy capitan, soy capitan

Bamba bamba
Bamba bamba
Bamba bamba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia para mÃ­ para tÃ­ y arriba y arriba

Para bailar la bamba
Para bailar la bamba se necesita una poca de gracia
Una poca de gracia para mÃ­ para tÃ­ y arriba y arriba
Y arriba y arriba por tÃ­ serÃ©, por tÃ­ serÃ©, por tÃ­ serÃ©

Bamba bamba
Bamba bamba
Bamba bamba
Bamba bamba"
38,Phil Collins,A Groovy Kind of Love,1988,"When I'm feeling blue all I have to do
Is take a look at you, then I'm not so blue
When you're close to me I can feel your heart beat
I can hear you breathing in my ear

Wouldn't you agree
Baby you and me
Got a groovy kind of love

Anytime you want to you can turn me into
Anything you want to anytime at all
When I kiss your lips oh I start to shiver
Can't control the quivering inside

Wouldn't you agree
Baby you and me
Got a groovy kind of love

When I'm feeling blue all I have to do
Is take a look at you, then I'm not so blue
When I'm in your eyes nothing seems to matter
My whole world could shadow I don't care

Wouldn't you agree
Baby you and me
Got a groovy kind of love

We got a groovy kind of love
We got a groovy kind of love
We got a groovy kind of love"
39,George Michael,Faith,1987,"Well I guess it would be nice
If I could touch your body
I know not everybody
Has got a body like you

But I've got to think twice
Before I give my heart away
And I know all the games you play
Because I play them too

Oh but I
Need some time off
From that emotion
Time to pick my heart up off the floor

Oh, and that love comes down
Without devotion
Well it takes a strong man baby
But I'm showing you the door

Because I gotta have faith
I gotta have faith
Because I got to have faith, faith
I gotta have faith, faith, faith

Baby
I know you're asking me to stay
Sayin' please, please, please, don't go away
You say I'm giving you the blues

Maybe
You mean every word you say
Can't help but think of yesterday
And another who tied me down to lover boy rules

Before this river
Becomes an ocean
Before you throw my heart back
On the floor

Oh, baby I reconsider
My foolish notion
Well I need someone to hold me
But I'll wait for something more

Yes I've gotta have faith
I gotta have faith
Because I got to have faith, faith, faith
I gotta have faith, faith, faith

Because I got to have faith
Oh yeah, faith
Got to have faith

Before this river
Becomes an ocean
Before you throw my heart back
On the floor

Oh, baby I reconsider
My foolish notion
Well I need someone to hold me
But I'll wait for something more

Because I gotta have faith
I gotta have faith
Because I got to have faith, faith, faith
I gotta have faith, faith, faith"
40,Foreigner,I Want to Know What Love Is,1985,"Foreigner
Agent Provocateur
I Want To Know What Love Is
I gotta take a little time
A little time to think things over
I better read between the lines
In case I need it when I'm older

Now this mountain I must climb
Feels like a world upon my shoulders
I through the clouds I see love shine
It keeps me warm as life grows colder

In my life there's been heartache and pain
I don't know if I can face it again
Can't stop now, I've traveled so far
To change this lonely life

I wanna know what love is
I want you to show me
I wanna feel what love is
I know you can show me

I'm gonna take a little time
A little time to look around me
I've got nowhere left to hide
It looks like love has finally found me

In my life there's been heartache and pain
I don't know if I can face it again
I can't stop now, I've traveled so far
To change this lonely life

I wanna know what love is
I want you to show me
I wanna feel what love is
I know you can show me

I wanna know what love is
I want you to show me
And I wanna feel, I want to feel what love is
And I know, I know you can show me

Let's talk about love
I wanna know what love is, the love that you feel inside
I want you to show me, and I'm feeling so much love
I wanna feel what love is, no, you just cannot hide
I know you can show me, yeah

I wanna know what love is, let's talk about love
I want you to show me, I wanna feel it too
I wanna feel what love is, I want to feel it too
And I know and I know, I know you can show me
Show me love is real, yeah
I wanna know what love is..."
41,Madonna,Papa Don't Preach,1986,"Papa, I know you're going to be upset
'Cause I was always your little girl
But you should know by now
I'm not a baby

You always taught me right from wrong
I need your help, Daddy, please be strong
I may be young at heart
But I know what I'm saying

The one you warned me all about
The one you said I could do without
We're in an awful mess and I don't mean maybe
Please

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby
Oh, I'm gonna keep my baby, mmm

He says that he's going to marry me
We can raise a little family
Maybe, we'll be all right
It's a sacrifice

But my friends keep telling me to give it up
Saying I'm too young, I ought to live it up
What I need right now is some good advice
Please

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby
Ooh, I'm gonna keep my baby, ooh oh

Daddy, Daddy, if you could only see
Just how good he's been treating me
You'd give us your blessing right now
'Cause we are in love, we are in love
  (In love so)
So please

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
But I made up my mind, I'm keeping my baby
Ooh, I'm gonna keep my baby, ooh ah

Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep
Papa don't preach, I'm in trouble deep
Papa don't preach, I've been losing sleep

(Papa don't preach)
Oh, I'm gonna keep my baby, ooh
  (Papa don't preach)
Don't you stop loving me, Daddy
  (Papa don't preach)
I know, I'm keeping my baby
  (Papa don't preach)"
42,David Bowie,Let's Dance,1983,"Let's dance
Put on your red shoes and dance the blues
Let's dance
To the song they're playin' on the radio
Let's sway
While colour lights up your face
Let's sway
Sway through the crowd to an empty space

If you say run
I'll run with you
And if you say hide
We'll hide

Because my love for you
Would break my heart in two
If you should fall into my arms
And tremble like a flower

Let's dance

Let's dance

For fear your grace should fall

Let's dance

For fear tonight is all

Let's sway

You could look into my eyes

Let's sway

Under the moonlight, this serious moonlight

And if you say run
I'll run with you
And if you say hide
We'll hide

Because my love for you
Would break my heart in two
If you should fall into my arms
And tremble like a flower

Let's dance

Put on your red shoes and dance the blues

Let's sway

Under the moonlight, this serious moonlight

Let's sway
Let's sway
Let's dance, let's dance, let's dance, let's dance, let's..."
43,Bobby McFerrin,Don't Worry Be Happy,1988,"Here's a little song I wrote you might want to sing it note for note
Don't worry be happy
In every life we have some trouble but when you worry you make it double
Don't worry be happy
Don't worry be happy now
Ooh-ooh-hoo-hoo-ooh hoo-hoo-ooh-ooh ooh...

Don't worry
Woo ooh-woo-ooh-woo-ooh-ooh...
Be happy
Woo ooh-ooh-ooh-ooh...
Don't worry be happy
Ooh-ooh hoo-hoo-ooh hoo-hoo-ooh-ooh ooh-ooh...

Don't worry
Woo ooh-woo-ooh-ooh-ooh-ooh...
Be happy
Woo-ooh-woo-ooh-ooh...
Don't worry be happy
Ain't got no place to lay your head somebody came and took your bed
Don't worry be happy

The landlord say your rent is late he may have to litigate
Don't worry
Ha-ha ha-ha ha-ha
Be happy

Look at me I'm happy

Ooh-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh ooh-ooh-ooh...
Don't worry
Ooh-ooh-ooh-ooh-ooh-ooh-ooh...
Be happy
Ooh-ooh-ooh-ooh-ooh...
Here I'll give you my phone number when you're worried call me I'll make you happy
Ooh-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh ooh-ooh-ooh...
Don't worry

Woo ooh-ooh-ooh-ooh-ooh-ooh...
Be happy
Woo ooh-ooh-ooh-ooh...
Ain't got no cash ain't got no style
Ain't got no gal to make you smile
But don't worry be happy

'Cause when you're worried your face will frown and that will bring everybody down
So don't worry be happy
Don't worry be happy now
Ooh-ooh-hoo-ooh-ooh ooh-ooh-ooh-ooh ooh-ooh-ooh...
Don't worry
Ooh-ooh-ooh-ooh-ooh-ooh-ooh...
Be happy
Woo ooh-ooh-ooh-ooh...
Don't worry be happy
Ooh-ooh-ooh-ooh-ooh ooh-ooh-ooh-ooh ooh-ooh-ooh...

Don't worry
Woo ooh-ooh-ooh-hoo-ooh-ooh...
Be happy
Woo ooh-ooh-ooh-ooh...
Don't worry be happy
Now there is this song I wrote

I hope you learned it note for note like good little children
Don't worry be happy
Listen to a what I say in your life expect some trouble when you worry you make it double
Don't worry be... happy... be happy now
Ooh-ooh-hoo-hoo-ooh ooh-ooh-ooh-ooh ooh-ooh-ooh
be happy"
44,Frankie Goes To Hollywood,Relax,1984,"It's right time now
Well, now

Relax, don't do it, when you want to, go do it
Relax, don't do it, when you want to cum
Relax, don't do it, when you want to suck, do it
When you want to come, when you want to cum
Relax, don't do it, when you want to, go do it
Relax, don't do it, when you want to cum
Relax, don't do it, when you want to suck, do it
Relax, don't do it, when you want to cum

Cum
But shoot it in the right direction
Make makin' it your intention
Live those dreams
Scheme those schemes
Gotta hit me
Hit me (Hit me)
Hit me with those laser beams
Laser beam

Relax, don't do it
Relax, where do you want to come?
I'm cumin'

I'm cumin'

Relax, don't do it, when you want to,
Relax, don't do it, when you want to cum
Relax don't do it

Relax, don't do it, when you want to suck, do it
Relax, don't do it, when you want to cum
When you want to cum
When you want to cum
Come
Relax, don't do it, when you want to,
Relax, don't do it
Relax, don't do it, when you want to suck, do it
Relax, don't do it"
45,J Geils Band,Centrefold,1982,"I overheard someone mention your name
I overheard, now my heart feels the pain
I thought that I would get over you with time
But here you are again, you're back in my mind
Time moves slowly since you've gone away
Life moves slowly since you've gone away
Do you, do you remember when
Our hearts, our hearts were together then?
You're gone, we're out on our own again
My love, do you remember when?
I walk the room where we both used to sit
I walk the room and I refuse to admit
That I'm all alone and our love's been left behind
And now once again, you are back in my mind
Life's so empty since you've gone away
I'm so empty since you've gone away
Do you, do you remember when
Our hearts, our hearts were together then?
You're gone, we're out on our own again
My love, do you remember when?
Do you, do you remember when
Our hearts, our hearts were together then?
You're gone, we're out on our own again
My love, do you remember when
You're gone, you're gone, you're gone?"
46,Queen,Another One Bites the Dust,1980,"Steve walks warily down the street
The brim pulled way down low
And ain't no sound but the sound of his feet
Machine guns ready to go

Are you ready hey, are you ready for this
Are you standing on the edge of your seat
Out of the doorway the bullets rip
To the sound of the beat, yeah, yeah, yeah, sing it

Another one bites the dust
Another one bites the dust, hey
And another one gone, and another one gone
Another one bites the dust
Hey, I'm gonna get you too
Another one bites the dust

How do you think I'm going to get along
Without you, when you're gone?
You took me for everything that I had
You kicked me out on my own

Are you happy? Are you satisfied?
How long can you stand the heat?
Out of the doorway the bullets rip
To the sound of the beat, yeah, yeah, yeah

Another one bites the dust
Another one bites the dust
And another one gone, and another one gone
Another one bites the dust
Hey, gonna get you too
Another one bites the dust

Another one bites the dust yeah
Another one bites the dust
Another one bites the dust yeah, yeah
Another one bites the dust yeah, yeah
Another one bites the dust yeah
Another one bites the dust yeah
Yeah, yeah
Yeah, yeah
Give me yeah yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah

Another one bites the dust
Another one bites the dust
Hey ,another one bites the dust yeah
Another one bites the dust yeah

Bites the dust
Bites the dust
Bites the dust
Bites the dust

Yeah
Yeah
Yeah
Yeah

Another one bites the dust
Another one bites the dust
Another one bites the dust
Another one bites the dust
Yeah, yeah, yeah

There are plenty of ways you can hurt a man
And bring him to the ground
You can beat him, you can cheat him
You can treat him bad and leave him when he's down

Is he ready, is he ready for you
I'm standing on my own two feet
Out of the doorway the bullets rip
Repeating the sound of the beat

Another one bites the dust
Another one bites the dust, hey
And another one gone, and another one gone
Another one bites the dust
Hey, I'm gonna get you too
Another one bites the dust

Yeah, yeah
Alright
Yeah, yeah, yeah
Yes"
47,The Pet Shop Boys,West End Girls,1986,"Sometimes you're better off dead
There's a gun in your hand and it's pointing at your head
You think you're mad, too unstable
Kicking in chairs and knocking down tables

In a restaurant in a West End town
Call the police, there's a madman around
Running down underground
To a dive bar in a West End town

In a West End town, a dead-end world
The East End boys and West End girls
In a West End town, a dead-end world
The East End boys and West End girls
West End girls

Too many shadows, whispering voices
Faces on posters, too many choices
If, when, why, what, how much have you got?
Have you got it, do you get it, if so, how often?
And which do you choose, a hard or soft option?
(How much do you need?)

In a West End town, a dead-end world
The East End boys and West End girls
In a West End town, a dead-end world
The East End boys and West End girls
West End girls
West End girls

(How much do you need?)

In a West End town, a dead-end world
The East End boys and West End girls
Ooh, West End town, a dead-end world
East End boys, West End girls
West End girls

You got a heart of glass or a heart of stone
Just you wait till I get you home
We've got no future, we've got no past
Here today, built to last
In every city, in every nation
From Lake Geneva to the Finland station
(How far have you been?)

In a West End town, a dead-end world
The East End boys and West End girls
A West End town, a dead-end world
East End Boys, West End girls
West End girls

West End girls

West End girls
(How far have you been?)

Girls"
48,The Bangles,Walk Like an Egyptian,1986,"All the old paintings on the tomb
They do the sand dance, don't you know
If they move too quick (oh way oh)
They're falling down like a domino

All the bazaar men by the Nile
They got the money on a bet
Gold crocodiles (oh way oh)
They snap their teeth on your cigarette

Foreign types with the hookah pipes say
Way oh way oh, way oh way oh
Walk like an Egyptian

The blonde waitresses take their trays
They spin around and they cross the floor
They've got the moves (oh way oh)
You drop your drink
Then they bring you more

All the school kids so sick of books
They like the punk and the metal band
When the buzzer rings (oh way oh)
They're walking like an Egyptian

All the kids in the marketplace say
Way oh way oh, way oh way oh
Walk like an Egyptian

Slide your feet up the street
Bend your back
Shift your arm, then you pull it back
Life is hard you know (oh way oh)
So strike a pose on a Cadillac

If you want to find all the cops
They're hanging out in the donut shop
They sing and dance (oh way oh)
They spin the clubs cruise down the block

All the Japanese with their yen
The party boys call the Kremlin
And the Chinese know (oh way oh)
They walk the line like Egyptian

All the cops in the donut shop say
Way oh way oh, way oh way oh
Walk like an Egyptian
Walk like an Egyptian

Walk like an Egyptian"
49,Lionel Richie,"Say You, Say Me",1985,"Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally

I had a dream I had an awesome dream
People in the park playing games in the dark
And what they played was a masquerade
And from behind of walls of doubt
A voice was crying out

Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally

As we go down life's lonesome highway
Seems the hardest thing to do is to find a friend or two
A helping hand, some one who understands
And when you feel you've lost your way
You've got some one there to say, ""I'll show you""

Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally

So you think you know the answers, oh no
Well the whole world has got you dancing
That's right, I'm telling you
It's time to start believing, oh yes
Believing who you are, you are a shining star

Say you, say me, say it for always
That's the way it should be
Say you, say me, say it together
Naturally
Say it together
Naturally"
50,U2,With Or Without You,1987,"See the stone set in your eyes
See the thorn twist in your side
I wait for you

Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I wait without you

With or without you
With or without you

Through the storm we reach the shore
You give it all but I want more
And I'm waiting for you

With or without you
With or without you
I can't live, with or without you

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

My hands are tied
My body bruised, she got me with
Nothing to win and nothing left to lose

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

With or without you
With or without you
I can't live, with or without you

With or without you
With or without you
I can't live, with or without you
With or without you"
51,Tears For Fears,Shout,1985,"Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on

In violent times
You shouldn't have to sell your soul
In black and white
They really really ought to know

Those one track minds
That took you for a working boy
Kiss them goodbye
You shouldn't have to jump for joy
You shouldn't have to jump for joy

Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on

They gave you life
And in return you gave them hell
As cold as ice
I hope we live to tell the tale
I hope we live to...

Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on

And when you've taken down your guard
If I could change your mind
I'd really love to break your heart
I'd really love to...

Shout
Shout
Let it all out
These are the things I can do without
Come on
I'm talking to you
Come on"
