Position,Artist,Song Title,Year,Lyrics
24,Don McLean,American Pie,1972,"A long, long time ago, I can still remember
How that music used to make me smile
And I knew if I had my chance
That I could make those people dance
And maybe they'd be happy for a while

But February made me shiver, with every paper I'd deliver
Bad news on the doorstep, I couldn't take one more step
I can't remember if I cried, when I read about his widowed bride
But something touched me deep inside the day the music died

So bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good old boys were drinking whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die

Did you write the book of love
And do you have faith in God above
If the Bible tells you so?
Now do you believe in rock and roll?
Can music save your mortal soul?
And can you teach me how to dance real slow?

Well, I know that you're in love with him
'Cause I saw you dancing in the gym
You both kicked off your shoes
Man, I dig those rhythm and blues

I was a lonely teenage broncin' buck
With a pink carnation and a pickup truck
But I knew I was out of luck
The day the music died

I started singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

Now, for ten years we've been on our own
And moss grows fat on a rolling stone
But that's not how it used to be
When the jester sang for the king and queen
In a coat he borrowed from James Dean
And a voice that came from you and me

Oh, and while the king was looking down
The jester stole his thorny crown
The courtroom was adjourned
No verdict was returned

And while Lenin read a book on Marx
The quartet practiced in the park
And we sang 'Dirges In The Dark'
The day the music died

We were singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

Helter skelter in a summer swelter
The birds flew off with a fallout shelter
Eight miles high and falling fast
Landed foul on the grass
The players tried for a forward pass
With the jester on the sidelines in a cast

Now the half time air was sweet perfume
While sergeants played a marching tune
We all got up to dance
Oh, but we never got the chance

'Cause the players tried to take the field
The marching band refused to yield
Do you recall what was revealed
The day the music died?

We started singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

Oh, and there we were all in one place
A generation lost in space
With no time left to start again
So come on Jack be nimble, Jack be quick
Jack Flash sat on a candlestick
'Cause fire is the devil's only friend

Oh, and as I watched him on the stage
My hands were clenched in fists of rage
No angel born in hell
Could break that Satan's spell

And as the flames climbed high into the night
To light the sacrificial rite
I saw Satan laughing with delight
The day the music died

He was singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die

I met a girl who sang the blues
And I asked her for some happy news
But she just smiled and turned away
I went down to the sacred store
Where I'd heard the music years before
But the man there said the music wouldn't play

And in the streets the children screamed
The lovers cried and the poets dreamed
But not a word was spoken
The church bells all were broken

And the three men I admire most
The Father, Son and the Holy Ghost
They caught the last train for the coast
The day the music died

And they were singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die

They were singing, bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
Singing this'll be the day that I die"
25,George McCrae,Rock Your Baby,1974,"Woman, take me in your arms
Rock your baby
Woman, take me in your arms
Rock your baby

There's nothin' to it just say you wanna do it
Open up your heart and let the lovin' start

Woman, take me in your arms
Rock your baby
Woman, take me in your arms
Rock your baby

Yeah, hold me tight with all your might
Now let your lovin' flow real sweet and slow

Woman, take me in your arms
Rock your baby
Woman, take me in your arms
Rock your baby

C'mon...
Ahhhh...

Woman, take me in your arms
Rock your baby, oo, oo, oo
Woman, take me in your arms
Rock your baby

Ah-aaaaaah, yeah
Take me in your arms and rock me
Ah-aaaaaah, yeah
Take me in your arms and rock me
Ah-aaaaaah-aaaaaah"
26,Abba,Waterloo,1974,"My my, at Waterloo Napoleon did surrender
Oh yeah, and I have met my destiny in quite a similar way

The history book on the shelf
Is always repeating itself

Waterloo
I was defeated, you won the war
Waterloo
Promise to love you forever more

Waterloo
Couldn't escape if I wanted to
Waterloo
Knowing my fate is to be with you
Waterloo
Finally facing my Waterloo

My my, I tried to hold you back but you were stronger
Oh yeah, and now it seems my only chance is giving up the fight

And how could I ever refuse?
I feel like I win when I lose

Waterloo
I was defeated, you won the war
Waterloo
Promise you'll love me forever more

Waterloo
Couldn't escape if I wanted to
Waterloo
Knowing my fate is to be with you
Waterloo
Finally facing my Waterloo

So how could I ever refuse?
I feel like I win when I lose

Waterloo
Couldn't escape if I wanted to
Waterloo
Knowing my fate is to be with you
Waterloo
Finally facing my Waterloo

Waterloo
Knowing my fate is to be with you
Waterloo
Finally facing my Waterloo"
27,Abba,Fernando,1976,"Can you hear the drums Fernando?
I remember long ago another starry night like this
In the firelight Fernando, you were humming to yourself
And softly strumming your guitar, I could hear the distant drums
And sounds of bugle calls were coming from afar

They were closer now Fernando
Every hour every minute seemed to last eternally
I was so afraid Fernando, we were young and full of life
And none of us prepared to die and I'm not ashamed to say
The roar of guns and cannons almost made me cry

There was something in the air that night, the stars were bright, Fernando
They were shining there for you and me for liberty, Fernando
Though we never thought that we could lose, there's no regret
If I had to do the same again, I would my friend, Fernando
If I had to do the same again, I would my friend, Fernando

Now we're old and gray Fernando
Since many years I haven't seen a rifle in your hand
Can you hear the drums Fernando?
Do you still recall the frightful night we crossed the Rio Grande?
I can see it in your eyes how proud you were to fight for freedom in this land

There was something in the air that night the stars were bright, Fernando
They were shining there for you and me for liberty, Fernando
Though we never thought that we could lose, there's no regret
If I had to do the same again, I would my friend, Fernando

There was something in the air that night, the stars were bright, Fernando
They were shining there for you and me for liberty, Fernando
Though we never thought that we could lose, there's no regret
If I had to do the same again, I would my friend, Fernando
Yes if had to do the same again, I would my friend, Fernando
If had to do the same again, I would my friend, Fernando"
28,Roberta Flack,Killing Me Softly With His Song,1973,"Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song

I heard he sang a good song, I heard he had a style
And so I came to see him to listen for a while
And there he was this young boy, a stranger to my eyes

Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song

I felt all flushed with fever, embarrassed by the crowd
I felt he found my letters and read each one out loud
I prayed that he would finish but he just kept right on

Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song

He sang as if he knew me in all my dark despair
And then he looked right through me as if I wasn't there
And he just kept on singing, singing clear and strong

Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song

Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me

He was strong in my face
Yeah he was seeing my life
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song"
29,Lynn Anderson,I Beg Your Pardon (I Never Promised You a Rose Garden),1971,"LYNN ANDERSON
New! Tap highlighted lyrics to add Meanings, Special Memories, and Misheard Lyrics...
I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time
When you take you gotta give so live and let live
Or let go oh-whoa-whoa-whoa
I beg your pardon
I never promised you a rose garden

I could promise you things like big diamond rings
But you don't find roses growin' on stalks of clover
So you better think it over
Well if sweet-talkin' you could make it come true
I would give you the world right now on a silver platter
But what would it matter
So smile for a while and let's be jolly
Love shouldn't be so melancholy
Come along and share the good times while we can

I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time

I beg your pardon
I never promised you a rose garden

I could sing you a tune and promise you the moon
But if that's what it takes to hold you
I'd just as soon let you go
But there's one thing I want you to know
You better look before you leap, still waters run deep
And there won't always be someone there to pull you out
And you know what I'm talkin' about
So smile for a while and let's be jolly
Love shouldn't be so melancholy
Come along and share the good times while we can

I beg your pardon
I never promised you a rose garden
Along with the sunshine
There's gotta be a little rain some time,
I beg your pardon
I never promised you a rose garden"
30,Carly Simon,You're So Vain,1973,"Son of a gun
You walked into the party like you were walking onto a yacht
Your hat strategically dipped below one eye
Your scarf it was apricot
You had one eye in the mirror as you watched yourself gavotte
And all the girls dreamed that they'd be your partner they'd be your partner and

You're so vain
You probably think this song is about you

You're so vain (you're so vain)
I bet you think this song is about you
Don't you don't you?

You had me several years ago when I was still quite naive
Well you said that we made such a pretty pair and that you would never leave
But you gave away the things you loved
And one of them was me
I had some dreams they were clouds in my coffee clouds in my coffee and
You're so vain

You probably think this song is about you
You're so vain (you're so vain)

I bet you think this song is about you
Don't you don't you don't you?
I had some dreams they were clouds in my coffee clouds in my coffee and

You're so vain
You probably think this song is about you

You're so vain (you're so vain)
I bet you think this song is about you
Don't you don't you?

Well I hear you went up to Saratoga
And your horse naturally won
Then you flew your lear jet up to Nova Scotia
To see the total eclipse of the sun
Well you're where you should be all the time
And when you're not you're with some underworld spy or the wife of a close friend wife of a close friend and
You're so vain
You probably think this song is about you
You're so vain (so vain)
I bet you think this song is about you
Don't you don't you don't you?
You're so vain
You probably think this song is about you
You're so vain
Probably think this song about you
You're so vain"
31,Bee Gees,Tragedy,1979,"Here I lie in a lost and lonely part of town
Held in time in a world of tears I slowly drown
Goin' home I just can't make it all alone
I really should be holdin' you, holdin' you
Lovin' you, lovin' you

Tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you you're goin' nowhere

Night and day there's burnin' down inside of me
Oh, burnin' love with a yearnin' that won't let me be
Down I go and I just can't take it all alone
I really should be holdin' you, holdin' you
Lovin' you, lovin' you

Tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you, you're goin' nowhere, oh

Tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you, you're goin' nowhere

Oh tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you, you're goin' nowhere

Oh, tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere"
32,Rod Stewart,Maggie May,1971,"Wake up Maggie I think I got something to say to you
It's late September and I really should be back at school
I know I keep you amused but I feel I'm being used
Oh Maggie I couldn't have tried any more
You lured me away from home just to save you from being alone
You stole my heart and that's what really hurts

The morning sun when it's in your face really shows your age
But that don't worry me none in my eyes you're everything
I laughed at all of your jokes, my love you didn't need to coax
Oh, Maggie I couldn't have tried any more
You lured me away from home, just to save you from being alone
You stole my soul and that's a pain I can do without

All I needed was a friend to lend a guiding hand
But you turned into a lover and
Mother what a lover, you wore me out
All you did was wreck my bed
And in the morning kick me in the head
Oh Maggie I couldn't have tried anymore
You lured me away from home 'cause you didn't want to be alone
You stole my heart I couldn't leave you if I tried

I suppose I could collect my books and get on back to school
Or steal my daddy's cue and make a living out of playing pool
Or find myself a rock and roll band that needs a helpin' hand
Oh Maggie I wish I'd never seen your face
You made a first class fool out of me
But I'm as blind as a fool can be
You stole my heart but I love you anyway

Maggie I wish I'd never seen your face
I'll get on back home one of these, these days"
33,Elton John,Crocodile Rock,1973,"I remember when rock was young
Me and Suzie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were rocking round the clock
We were hopping and bopping to the Crocodile Rock

Well 'Crocodile Rocking' is something shocking
When your feet just can't keep still
I never knew me a better time and I guess I never will
Oh Lawdy Mama those Friday nights
When Suzie wore her dresses tight
And the 'Crocodile Rocking' was out of the sight

La, la la la
La la la
La la la

But the years went by and the rock just died
Suzie went and left us for some foreign guy
Long nights crying by the record machine
Dreaming of my Chevy and my old blue jeans
But they'll never kill the thrills we've got
Burning up to the Crocodile Rock
Learning fast as the weeks went past
We really thought the Crocodile Rock would last

Well 'Crocodile Rocking' is something shocking
When your feet just can't keep still
I never knew me a better time and I guess I never will
Oh Lawdy Mama those Friday nights
When Suzie wore her dresses tight
And the 'Crocodile Rocking' was out of the sight

La, la la la
La la la
La la la

I remember when rock was young
Me and Suzie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were rocking round the clock
We were hopping and bopping to the Crocodile Rock

Well 'Crocodile Rocking' is something shocking
When your feet just can't keep still
I never knew me a better time and I guess I never will
Oh Lawdy Mama those Friday nights
When Suzie wore her dresses tight
And the 'Crocodile Rocking' was out of the sight

La, la la la
La la la
La la la
..."
34,Bee Gees,How Deep is Your Love?,1977,"I know your eyes in the morning sun
I feel you touch me in the pouring rain
And the moment that you wander far from me
I wanna feel you in my arms again

And you come to me on a summer breeze
Keep me warm in your love, then you softly leave
And it's me you need to show
How deep is your love

How deep is your love, how deep is your love
I really mean to learn
'Cause we're living in a world of fools
Breaking us down when they all should let us be
We belong to you and me

I believe in you
You know the door to my very soul
You're the light in my deepest, darkest hour
You're my savior when I fall

And you may not think, I care for you
When you know down inside that I really do
And it's me you need to show
How deep is your love

How deep is your love, how deep is your love
I really mean to learn
'Cause we're living in a world of fools
Breaking us down when they all should let us be
We belong to you and me

And you come to me on a summer breeze
Keep me warm in your love, then you softly leave
And it's me you need to show
How deep is your love

How deep is your love, how deep is your love
I really mean to learn
'Cause we're living in a world of fools
Breaking us down when they all should let us be
We belong to you and me

How deep is your love, how deep is your love
I really mean to learn
'Cause we're living in a world of fools
Breaking us down when they all should let us be
We belong to you and me

How deep is your love, how deep is your love
I really mean to learn
'Cause we're living in a world of fools
Breaking us down when they all should let us be
We belong to you and me"
35,Donna Summer,Hot Stuff,1979,"Sittin' here, eatin' my heart out waitin'
Waitin' for some lover to call
Dialed about a thousand numbers lately
Almost rang the phone off the wall
Lookin' for some hot stuff, baby this evenin'
I need some hot stuff, baby tonight
I want some hot stuff, baby this evenin'
Gotta have some hot stuff
Gotta have some love tonight
(Hot stuff)
I need hot stuff
I want some hot stuff
I need hot stuff
Lookin' for a lover who needs another
Don't want another night on my own
Wanna share my love with a warm blooded lover
Wanna bring a wild man back home
Gotta have some hot love baby, this evenin'
I need some hot stuff baby tonight
I want some hot stuff baby this evenin'
Gotta have some lovin'
Got to have a love tonight
(Hot stuff)
I need hot stuff
Hot love
Lookin' for hot love
(Hot hot hot hot stuff)
(Hot hot hot)
(Hot hot hot hot stuff)
(Hot hot hot)
How's 'bout some hot stuff, baby this evenin'
I need some hot stuff baby tonight
Gimme little hot stuff baby this evenin'
Hot stuff baby
Gonna need your love tonight
(Hot stuff)
I need hot love
Lookin' for hot love
Wanna have hot love
Sittin' here eating my heart no reason
Won't spend another night on my own
I dialed about a hundred numbers baby
I'm bound to find somebody home
Gonna have some hot stuff, baby this evenin'
I need some hot stuff, baby tonight
Looking for my hot stuff, baby this evenin'
Need some loving baby
Gonna need your love tonight
Hot stuff baby this evening
I need some hot stuff baby tonight, yeah yeah
I want some hot stuff baby this evenin'
I want some hot stuff baby tonight, yeah yeah yeah yeah
Hot love, baby
I need your hot stuff baby tonight
I want your hot stuff baby this evenin'
Hot stuff baby
Gonna need your love tonight"
36,Patrick Hernandez,Born to Be Alive,1979,"Patrick Hernandez
Miscellaneous
Born to be Alive
We were born to be, alive
We were born to be, alive

Born, born to be alive (born to be alive)
You see we're born, born, born, born to be alive

People ask me why I never find a place to stop and settle
Down down down
But I never wanted all the things that people need to find their
Lives lives lives

You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born

It's good to be alive, to be alive, to be alive
It's good to be alive, to be alive, to be alive
It's good to be alive

Times was on my side when I runnin'in the street it was the
By by by
A suitcase and an old guitar and something new to occupy my
Mind mind mind

You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born
You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born
You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born
Born to be alive
You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born, born to be alive."
37,Harry Nilsson,Without You,1972,"No, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes
Your sorrow shows, yes, it shows

No, I can't forget tomorrow
When I think of all my sorrows
And I had you there but then I let you go
And now it's only fair that I should let you know
What you should know

I can't live if living is without you
I can't live, I can't give any more
Can't live if living is without you
I can't give, I can't give any more

Well, I can't forget this evening
Or your face as you were leaving
But I guess that's just the way the story goes
You always smile but in your eyes
Your sorrow shows, yes, it shows

Can't live if living is without you
I can't live, I can't give anymore
I can't live if living is without you
Can't live, I can't give anymore
Living is without you"
38,Donna Summer,I Feel Love,1977,"Ooh it's so good, it's so good
it's so good, it's so good
it's so good
Ooh i'm in love, i'm in love,
i'm in love, i'm in love
i'm in love
Ooh i feel love, i feel love
i feel love, i feel love
i feel love
I feel love
i feel love
i feel love
Ooh fall and free, fall and free
fall and free, fall and free
fall and free
Ooh you and me, you and me
you and me, you and me
you and me
Ooh i feel love, i feel love
i feel love, i feel love
i feel love
I feel love
i feel love"
39,Gerry Rafferty,Baker Street,1978,"Winding your way down on Baker Street
Light in your head and dead on your feet
Well, another crazy day
You'll drink the night away
And forget about everything
This city desert makes you feel so cold
It's got so many people, but it's got no soul
And it's taken you so long
To find out you were wrong
When you thought it held everything

You used to think that it was so easy
You used to say that it was so easy
But you're trying, you're trying now
Another year and then you'd be happy

Just one more year and then you'd be happy

But you're crying, you're crying now

Way down the street there's a light in his place
He opens the door, he's got that look on his face
And he asks you where you've been
You tell him who you've seen
And you talk about anything
He's got this dream about buying some land
He's gonna give up the booze and the one-night stands
And then he'll settle down
In some quiet little town
And forget about everything

But you know he'll always keep moving
You know he's never gonna stop moving
'Cause he's rolling, he's the rolling stone
And when you wake up, it's a new morning
The sun is shining, it's a new morning
And you're going, you're going home"
40,The Knack,My Sharona,1979,"Ooh, my little pretty one, my pretty one
When you gonna give me some time, Sharona
Ooh, you make my motor run, my motor run
Got it comin' off o' the line, Sharona
Never gonna stop, give it up, such a dirty mind
I always get it up for the touch of the younger kind
My, my, my, aye-aye, whoa!

M-m-m-my Sharona
Come a little closer, huh, a-will ya, huh?
Close enough to look in my eyes, Sharona
Keepin' it a mystery, it gets to me

Runnin' down the length of my thigh, Sharona
Never gonna stop, give it up, such a dirty mind
I always get it up for the touch of the younger kind
My, my, my, aye-aye, whoa!

M-m-m-my Sharona
M-m-m-my Sharona
When you gonna give to me, a gift to me
Is it just a matter of time, Sharona?
Is it d-d-destiny, d-destiny

Or is it just a game in my mind, Sharona?
Never gonna stop, give it up, such a dirty mind
I always get it up for the touch of the younger kind
My, my, my, aye-aye, whoa!

M-m-m-my, my, my, aye-aye, whoa!
M-m-my Sharona
M-m-my Sharona
M-m-my Sharona
M-m-my Sharona
Ooooooo-ohhh, my Sharona
Ooooooo-ohhh, my Sharona
Ooooooo-ohhh, my Sharona"
41,Billy Swan,I Can Help,1975,"If you've got a problem, don't care what it is
If you need a hand, I can assure you this

I can help, I've got two strong arms, I can help
It would sure do me good to do you good
Let me help

It's a fact that people get lonely, ain't nothing new
But a woman like you, babe, should never have the blues

Let me help, I've got two for me, let me help
It would sure do me good to do you good
Let me help

When I go to sleep at night, you're always a part of my dreams
Holding me tight and telling me everything I want to hear

Don't forget me, babe, all you gotta do is call
You know how I feel about you, I can do anything at all

Let me help if your child needs a Dad, I can help
It would sure do me good to do you good
Let me help

When I go to sleep at night, you're always a part of my dreams
Holding me tight and telling me everything I want to hear

Don't forget me, babe, all you gotta do is call
You know how I feel about you, if I can do anything at all

Let me help, for a child needs a Dad, I can help
It would sure do me good to do you good
Let me help"
42,Abba,SOS,1975,"Where are those happy days? They seem so hard to find
I tried to reach for you but you have closed your mind
Whatever happened to our love, I wish I understood
It used to be so nice, it used to be so good

So when you're near me, darling can't you hear me? SOS
The love you gave me, nothing else can save me, SOS
When you're gone, how can I even try to go on?
When you're gone, though I try how can I carry on?

You seemed so far away though you were standing near
You made me feel alive but something died I fear
I really tried to make it out, I wish I understood
What happened to our love? It used to be so good

So when you're near me, darling can't you hear me? SOS
The love you gave me, nothing else can save me, SOS
When you're gone, how can I even try to go on?
When you're gone, though I try how can I carry on?

So when you're near me, darling can't you hear me? SOS
And the love you gave me, nothing else can save me, SOS
When you're gone, how can I even try to go on?
When you're gone, though I try how can I carry on?
When you're gone, how can I even try to go on?
When you're gone, though I try how can I carry on?"
43,Bonnie Tyler,It's a Heartache,1978,"It's a heartache
Nothing but a heartache
Hits you when it's too late
Hits you when you're down
It's a fool's game
Nothing but a fool's game
Standing in the cold rain
Feeling like a clown
It's a heartache
Nothing but a heartache
Love him till your arms break
Then he'll let you down
It ain't right with love to share
When you find he doesn't care for youIt Ain't wise to need someone
As much as I depended on you
It's a heartache
Nothing but a heartache
Hits you when it's too late
Hits you when you're down
Its a fool's game
Nothing but a fool's game
Standing in the cold rain
Feeling like a clown
It ain't right with love to share
When you find he doesn't care, for youIt Ain't wise to need someone
As much as I depended on, you
It's a heartache
Nothing but a heartache
Love him till your arms break
Then he lets you down
It's a fool's game
Standing in the cold rain
Feeling like a clown
It's a heartache
Love him till your arms break
Then he lets you down
It's a fool's game
Standing in the cold rain."
44,Bee Gees,Too Much Heaven,1979,"Nobody gets too much Heaven, no more
It's much harder to come by, I'm waiting in line
Nobody gets too much love, anymore
It's as high as a mountain and harder to climb

Oh you and me girl got a lot of love in store
And it flows through you and it flows through me
And I love you so much more

Then my life I can see beyond forever
Everything we are will never die
Loving's such a beautiful thing

Oh you make my world a summer day
Are you just a dream to fade away?

Nobody gets too much Heaven, no more
It's much harder to come by, I'm waiting in line
Nobody gets too much love, anymore
It's as high as a mountain and harder to climb

You and me girl got a highway to the sky
We can turn away from the night and day
And the tears you had to cry

You're my life, I can see a new tomorrow
Everything we are will never die
Loving's such a beautiful thing

When you are to me, the light above
Made for all to see our precious love

Nobody gets too much Heaven, no more
It's much harder to come by, I'm waiting in line
Nobody gets too much love, anymore
It's as high as a mountain and harder to climb

Love is such a beautiful thing
You make my world a summer day
Are you just a dream to fade away?

Nobody gets too much Heaven, no more
It's much harder to come by, I'm waiting in line
Nobody gets too much love, anymore
It's as wide as a river and harder to cross

Nobody gets too much Heaven, no more
It's much harder to come by, I'm waiting in line
Nobody gets too much love, anymore
It's as high as a mountain and harder to climb
..."
45,Lobo,I'd Love You to Want Me,1973,"When I saw you standing there
I'bout fell off my chair
And when you moved your mouth to speak
I felt the blood go to my feet

Now, it took time for me to know
What you tried so not to show
Something in my soul just cried
I see the want in your blue eyes

Baby, I'd love you to want me
The way that I want you
The way that it should be
Mmm, baby, you'd love me to want you
The way that I want to
If you'd only let it be

You told yourself years ago
You'd never let your feelings show
The obligation that you made
For the title that they gave

Baby, I'd love you to want me
The way that I want you
The way that it should be
Mmm, baby, you'd love me to want you
The way that I want to
If you'd only let it be

Now, it took time for me to know
What you tried so not to show
Something in my soul just cried
I see the want in your blue eyes

Baby, I'd love you to want me
The way that I want you
The way that it should be
Mmm, baby, you'd love me to want you
The way that I want to
If you'd only let it be
Oh baby, I'd love you to want me
The way that I want you
The way that it should be
Mmm, baby, you'd love me to want you
The way that I want to
If you'd only let it be"
46,Norman Greenbaum,Spirit in the Sky,1970,"When I die and they lay me to rest
Gonna go to the place that's the best
When I lay me down to die
Goin' up to the spirit in the sky

Goin' up to the spirit in the sky
That's where I'm gonna go when I die
When I die and they lay me to rest
I'm gonna go to the place that's the best

Prepare yourself, you know it's a must
Gotta have a friend in Jesus
So you know that when you die
He's gonna recommend you to the spirit in the sky

Gonna recommend you to the spirit in the sky
That's where you're gonna go when you die
When you die and they lay you to rest
You're gonna go to the place that's the best

Never been a sinner, I never sinned
I got a friend in Jesus
So, you know that when I die
He's gonna set me up with the spirit in the sky

Oh, set me up with the spirit in the sky
That's where I'm gonna go when I die
When I die and they lay me to rest
I'm gonna go to the place that's the best
Go to the place that's the best"
47,Boney M,Ma Baker,1977,"Freeze, I'm Ma Baker, put your hands in the air
Gimme all your money
This is the story of Ma Baker, the meanest cat
From old Chicago town

She was the meanest cat
In old Chicago town
She was the meanest cat
She really moved them down
She had no heart at all
No no no heart at all

She was the meanest cat
Oh she was realy tough
She left her husband flat
He wasn't tough enough
She took her boys along
'Cause they were mean and strong

Ma Ma Ma Ma
Ma Baker
She taught her four sons
Ma Ma Ma Ma
Ma Baker
To handle their guns
Ma Ma Ma Ma
Ma Baker
She never could cry
Ma Ma Ma Ma
Ma Baker
But she knew how to die

They left a trail of crime
Across the U.S.A.
And when one boy was killed
She really made them pay
She had no heart at all
No no no heart at all

Ma Ma Ma Ma
Ma Baker
She taught her four sons
Ma Ma Ma Ma
Ma Baker
To handle their guns
Ma Ma Ma Ma
Ma Baker
She never could cry
Ma Ma Ma Ma
Ma Baker
But she knew how to die

She met a man she liked
She thought she'd stay with him
One day he formed with them
They did away with him
She didn't care at all
Just didn't care at all

(Here is special bulletin
Ma Baker is the FBI's most wanted woman
Her photo is hanging on every post office wall
If you have any information about this woman
Please contact your nearest police station)

(Don't anybody move, the money or your lives)

One day they robbed a bank
It was their last hooray
The cops appeared too soon
They couldn't get away
And all the loot they had
It made them mighty mad

And so they shot it out
Ma Baker and her sons
They didn't want to hang
They died with blazing guns
And so the story ends
Of one who left no friends

Ma Ma Ma Ma
Ma Baker
She taught her four sons
Ma Ma Ma Ma
Ma Baker
To handle their guns
Ma Ma Ma Ma
Ma Baker
She never could cry
Ma Ma Ma Ma
Ma Baker
But she knew how to die

Ma Ma Ma Ma
Ma Baker
She taught her four sons
Ma Ma Ma Ma
Ma Baker
To handle their guns
Ma Ma Ma Ma
Ma Baker
She never could cry
Ma Ma Ma Ma
Ma Baker
But she knew how to die"
48,Wings,Mull of Kintyre,1977,"Der ganze song hat leider nicht gepasst, es fehlt eine zeile und dieses Programm schafft es nicht sie hier einzubringen!!!!

Mull of Kintyre
Oh, mist rolling in from the sea
My desire is always to be here
Oh, Mull of Kintyre

Far have I travelled, and much have I seen
Dark distant mountains with valleys of green
Past painted deserts, the sunset's on fire
As he carries me home to the Mull of Kintyre

Mull of Kintyre
Oh, mist rolling in from the sea
My desire is always to be here
Oh, Mull of Kintyre

Sweep through the heather like deer in the glen
Carry me back to the days I knew then
Of the life and the times of the Mull of Kintyre

Mull of Kintyre
Oh, mist rolling in from the sea
My desire is always to be here
Oh, Mull of Kintyre

Smiles in the sunshine and tears in the rain
Still take me back where my memories remain
Flickering embers grow higher and higher
As they carry me back to the Mull of Kintyre

Mull of Kintyre Oh, mist rolling in from the sea
My desire is always to be here Oh, Mull of Kintyre"
49,10CC,I'm Not in Love,1975,"I'm not in love, so don't forget it
It's just a silly phase I'm going through
And just because, I call you up
Don't get me wrong, don't think you've got it made
I'm not in love, no no, it's because

I like to see you but then again
That doesn't mean you mean that much to me
So if I call you don't make a fuss
Don't tell your friends about the two of us
I'm not in love, no no, it's because

I keep your picture upon the wall
It hides a nasty stain that's lying there
So don't you ask me to give it back
I know you know it doesn't mean that much to me
I'm not in love, no no, it's because

Ooh you wait a long time for me
Ooh you wait a long time
Ooh you wait a long time for me
Ooh you wait a long time

I'm not in love so don't forget it
It's just a silly phase I'm going through
And just because I call you up
Don't get me wrong, don't think you've got it made
Oh I'm not in love, I'm not in love

Yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah"
